Reference_Year,WRRG,Type,Value
2002-2003,Metropolitan,landFill,769823.8984
2003-2004,Metropolitan,landFill,770921.9512
2009-2010,Metropolitan,landFill,782123.397
2001-2002,Metropolitan,landFill,804340.8418
2010-2011,Metropolitan,landFill,805594.5089
2012-2013,Metropolitan,landFill,813316.0411
2011-2012,Metropolitan,landFill,820146.8692
2013-2014,Metropolitan,landFill,831857.9619
2014-2015,Metropolitan,landFill,855004.8887
2015-2016,Metropolitan,landFill,860554.5103
2016-2017,Metropolitan,landFill,877806.17
2017-2018,Metropolitan,landFill,885954.1895
2018-2019,Metropolitan,landFill,891073.2403
2002-2003,North East,recyclingProcessed,6802.15
2002-2003,Goulburn Valley,recyclingProcessed,7420.46
2003-2004,North East,recyclingProcessed,8766.7799
2003-2004,Goulburn Valley,recyclingProcessed,9776.71
2002-2003,Grampians Central West,recyclingProcessed,9999.75
2001-2002,Grampians Central West,recyclingProcessed,10066.1499
2007-2008,North East,recyclingProcessed,10119.8199
2005-2006,North East,recyclingProcessed,10223.99
2006-2007,North East,recyclingProcessed,10523.2898
2001-2002,Goulburn Valley,recyclingProcessed,10557.4899
2001-2002,North East,recyclingProcessed,10692.5
2008-2009,North East,recyclingProcessed,10827.07
2003-2004,Grampians Central West,recyclingProcessed,10909.7499
2004-2005,Goulburn Valley,recyclingProcessed,11009.7402
2001-2002,Gippsland,recyclingProcessed,11075.38
2009-2010,North East,recyclingProcessed,11151.8399
2002-2003,Gippsland,recyclingProcessed,11767.2321
2001-2002,Loddon Mallee,recyclingProcessed,12196.0299
2010-2011,North East,recyclingProcessed,12270.73
2018-2019,North East,recyclingProcessed,12291.9699
2004-2005,North East,recyclingProcessed,12432.2698
2011-2012,North East,recyclingProcessed,12661.5601
2017-2018,North East,recyclingProcessed,12760.74
2012-2013,North East,recyclingProcessed,12955.2001
2013-2014,North East,recyclingProcessed,12997.62
2014-2015,North East,recyclingProcessed,13319.4699
2004-2005,Grampians Central West,recyclingProcessed,13388.6202
2003-2004,Gippsland,recyclingProcessed,13584.7301
2015-2016,North East,recyclingProcessed,13663.6899
2016-2017,North East,recyclingProcessed,14072.69
2002-2003,Loddon Mallee,recyclingProcessed,14101.39
2005-2006,Grampians Central West,recyclingProcessed,15220.7
2005-2006,Goulburn Valley,recyclingProcessed,15273.56
2003-2004,Loddon Mallee,recyclingProcessed,15544.0899
2006-2007,Grampians Central West,recyclingProcessed,16050.07
2006-2007,Goulburn Valley,recyclingProcessed,16542.21
2004-2005,Gippsland,recyclingProcessed,17249.3701
2004-2005,Loddon Mallee,recyclingProcessed,17283.8598
2007-2008,Goulburn Valley,recyclingProcessed,17557.8298
2007-2008,Grampians Central West,recyclingProcessed,17679.56
2017-2018,Goulburn Valley,recyclingProcessed,17840.0903
2001-2002,Barwon South West,recyclingProcessed,17931.0297
2018-2019,Goulburn Valley,recyclingProcessed,18169.3599
2005-2006,Loddon Mallee,recyclingProcessed,18224.0901
2008-2009,Goulburn Valley,recyclingProcessed,18456.3801
2005-2006,Gippsland,recyclingProcessed,18589.3499
2009-2010,Goulburn Valley,recyclingProcessed,19428.3197
2006-2007,Gippsland,recyclingProcessed,19559.89
2011-2012,Grampians Central West,recyclingProcessed,19603.6
2012-2013,Goulburn Valley,recyclingProcessed,19939.9301
2016-2017,Goulburn Valley,recyclingProcessed,20024.0199
2018-2019,Grampians Central West,recyclingProcessed,20094.9901
2012-2013,Grampians Central West,recyclingProcessed,20149.27
2007-2008,Gippsland,recyclingProcessed,20158.4999
2015-2016,Goulburn Valley,recyclingProcessed,20177.6398
2008-2009,Grampians Central West,recyclingProcessed,20185.24
2009-2010,Grampians Central West,recyclingProcessed,20290.0496
2013-2014,Grampians Central West,recyclingProcessed,21030.7301
2006-2007,Loddon Mallee,recyclingProcessed,21082.1801
2010-2011,Goulburn Valley,recyclingProcessed,21145.1
2014-2015,Grampians Central West,recyclingProcessed,21493.5545
2011-2012,Goulburn Valley,recyclingProcessed,21601.3199
2013-2014,Goulburn Valley,recyclingProcessed,21657.37
2007-2008,Loddon Mallee,recyclingProcessed,21813.112
2017-2018,Grampians Central West,recyclingProcessed,22168.5504
2016-2017,Grampians Central West,recyclingProcessed,22854.8869
2014-2015,Gippsland,recyclingProcessed,22856.3504
2014-2015,Goulburn Valley,recyclingProcessed,22976.22
2008-2009,Gippsland,recyclingProcessed,23046.2899
2018-2019,Gippsland,recyclingProcessed,23285.8601
2018-2019,Loddon Mallee,recyclingProcessed,23445.7601
2016-2017,Loddon Mallee,recyclingProcessed,23509.9802
2010-2011,Loddon Mallee,recyclingProcessed,23595.5702
2017-2018,Gippsland,recyclingProcessed,23806.1397
2013-2014,Loddon Mallee,recyclingProcessed,23849.0698
2015-2016,Loddon Mallee,recyclingProcessed,23991.4003
2010-2011,Gippsland,recyclingProcessed,24179.509
2010-2011,Grampians Central West,recyclingProcessed,24227.91
2009-2010,Gippsland,recyclingProcessed,24329.75
2015-2016,Gippsland,recyclingProcessed,24340.3098
2015-2016,Grampians Central West,recyclingProcessed,24348.3197
2011-2012,Gippsland,recyclingProcessed,24733.0704
2016-2017,Gippsland,recyclingProcessed,24743.3801
2017-2018,Loddon Mallee,recyclingProcessed,24769.26
2011-2012,Loddon Mallee,recyclingProcessed,24787.5
2012-2013,Gippsland,recyclingProcessed,24862.17
2009-2010,Loddon Mallee,recyclingProcessed,24919.2899
2002-2003,Barwon South West,recyclingProcessed,24945.7496
2012-2013,Loddon Mallee,recyclingProcessed,25101
2013-2014,Gippsland,recyclingProcessed,25307.4304
2008-2009,Loddon Mallee,recyclingProcessed,25377.3899
2014-2015,Loddon Mallee,recyclingProcessed,25504.9801
2003-2004,Barwon South West,recyclingProcessed,30418.8608
2004-2005,Barwon South West,recyclingProcessed,34054.3201
2005-2006,Barwon South West,recyclingProcessed,34919.1102
2006-2007,Barwon South West,recyclingProcessed,37701.2998
2008-2009,Barwon South West,recyclingProcessed,38898.75
2018-2019,Barwon South West,recyclingProcessed,40084.8506
2007-2008,Barwon South West,recyclingProcessed,40116.3498
2017-2018,Barwon South West,recyclingProcessed,40286.47
2013-2014,Barwon South West,recyclingProcessed,40721.2795
2010-2011,Barwon South West,recyclingProcessed,41156.6496
2009-2010,Barwon South West,recyclingProcessed,41180.1301
2011-2012,Barwon South West,recyclingProcessed,42056.51
2014-2015,Barwon South West,recyclingProcessed,43017.9109
2012-2013,Barwon South West,recyclingProcessed,43079.7894
2016-2017,Barwon South West,recyclingProcessed,43306.69
2015-2016,Barwon South West,recyclingProcessed,43743.7461
2001-2002,Metropolitan,recyclingProcessed,262940.7798
2002-2003,Metropolitan,recyclingProcessed,295290.7593
2003-2004,Metropolitan,recyclingProcessed,304917.2721
2004-2005,Metropolitan,recyclingProcessed,339659.32
2005-2006,Metropolitan,recyclingProcessed,362531.7705
2018-2019,Metropolitan,recyclingProcessed,368550.939
2017-2018,Metropolitan,recyclingProcessed,380055.4607
2006-2007,Metropolitan,recyclingProcessed,383734.1728
2016-2017,Metropolitan,recyclingProcessed,403825.0913
2014-2015,Metropolitan,recyclingProcessed,406995.7006
2013-2014,Metropolitan,recyclingProcessed,408555.5802
2015-2016,Metropolitan,recyclingProcessed,408707.0216
2007-2008,Metropolitan,recyclingProcessed,414717.853
2008-2009,Metropolitan,recyclingProcessed,417916.2807
2012-2013,Metropolitan,recyclingProcessed,418397.5323
2010-2011,Metropolitan,recyclingProcessed,424180.0317
2009-2010,Metropolitan,recyclingProcessed,424661.4405
2011-2012,Metropolitan,recyclingProcessed,429601.5391
2002-2003,Loddon Mallee,gardenProcessed,40
2005-2006,Grampians Central West,gardenProcessed,76
2006-2007,Grampians Central West,gardenProcessed,80
2007-2008,Grampians Central West,gardenProcessed,80
2008-2009,Grampians Central West,gardenProcessed,100
2009-2010,Grampians Central West,gardenProcessed,100
2010-2011,Grampians Central West,gardenProcessed,270
2005-2006,Goulburn Valley,gardenProcessed,318
2014-2015,Grampians Central West,gardenProcessed,372.41
2015-2016,Grampians Central West,gardenProcessed,384
2004-2005,North East,gardenProcessed,528
2001-2002,North East,gardenProcessed,585
2002-2003,North East,gardenProcessed,644
2001-2002,Barwon South West,gardenProcessed,865
2004-2005,Grampians Central West,gardenProcessed,1010
2012-2013,Grampians Central West,gardenProcessed,1055.28
2003-2004,Grampians Central West,gardenProcessed,1090
2011-2012,Grampians Central West,gardenProcessed,1149.97
2002-2003,Gippsland,gardenProcessed,1195.8
2013-2014,Grampians Central West,gardenProcessed,1200
2003-2004,North East,gardenProcessed,1228
2003-2004,Gippsland,gardenProcessed,1312.95
2001-2002,Grampians Central West,gardenProcessed,1512
2001-2002,Gippsland,gardenProcessed,1523.35
2008-2009,North East,gardenProcessed,1570.5
2005-2006,North East,gardenProcessed,1645
2006-2007,North East,gardenProcessed,1851
2007-2008,North East,gardenProcessed,2031.7
2002-2003,Grampians Central West,gardenProcessed,2140
2009-2010,North East,gardenProcessed,2252
2010-2011,North East,gardenProcessed,2361
2014-2015,Loddon Mallee,gardenProcessed,2637.73
2011-2012,North East,gardenProcessed,2669
2013-2014,Loddon Mallee,gardenProcessed,2907.66
2012-2013,North East,gardenProcessed,2996
2015-2016,Loddon Mallee,gardenProcessed,3111.5
2013-2014,North East,gardenProcessed,3294
2012-2013,Loddon Mallee,gardenProcessed,3362.9
2011-2012,Loddon Mallee,gardenProcessed,3576.16
2014-2015,North East,gardenProcessed,3644
2006-2007,Goulburn Valley,gardenProcessed,4610
2007-2008,Goulburn Valley,gardenProcessed,4971
2008-2009,Goulburn Valley,gardenProcessed,5593
2009-2010,Goulburn Valley,gardenProcessed,6267
2012-2013,Goulburn Valley,gardenProcessed,6653
2011-2012,Goulburn Valley,gardenProcessed,6874.7598
2010-2011,Goulburn Valley,gardenProcessed,7310
2014-2015,Goulburn Valley,gardenProcessed,9008.3999
2013-2014,Goulburn Valley,gardenProcessed,9140
2002-2003,Barwon South West,gardenProcessed,9307.2
2017-2018,Grampians Central West,gardenProcessed,9857.2596
2016-2017,Grampians Central West,gardenProcessed,10121.4
2018-2019,Grampians Central West,gardenProcessed,10191.0197
2006-2007,Gippsland,gardenProcessed,10810
2004-2005,Gippsland,gardenProcessed,11104
2005-2006,Gippsland,gardenProcessed,11109
2018-2019,Goulburn Valley,gardenProcessed,11831.4398
2017-2018,Goulburn Valley,gardenProcessed,12456.5898
2016-2017,Loddon Mallee,gardenProcessed,13246.5
2018-2019,North East,gardenProcessed,13764.16
2008-2009,Gippsland,gardenProcessed,13770
2015-2016,Goulburn Valley,gardenProcessed,13828.9004
2015-2016,North East,gardenProcessed,13866.2302
2016-2017,Goulburn Valley,gardenProcessed,13874
2017-2018,Loddon Mallee,gardenProcessed,13896.8
2018-2019,Loddon Mallee,gardenProcessed,14104.86
2017-2018,North East,gardenProcessed,14867.9199
2007-2008,Gippsland,gardenProcessed,15343
2016-2017,North East,gardenProcessed,15688.6
2009-2010,Gippsland,gardenProcessed,16273.9299
2011-2012,Gippsland,gardenProcessed,17226.2505
2012-2013,Gippsland,gardenProcessed,17287.1658
2013-2014,Gippsland,gardenProcessed,17907
2014-2015,Gippsland,gardenProcessed,18253.46
2015-2016,Gippsland,gardenProcessed,18922.54
2010-2011,Gippsland,gardenProcessed,20181.48
2006-2007,Barwon South West,gardenProcessed,21142.1391
2016-2017,Gippsland,gardenProcessed,21309.5601
2008-2009,Barwon South West,gardenProcessed,27633
2017-2018,Gippsland,gardenProcessed,28269.1502
2003-2004,Barwon South West,gardenProcessed,28961.0298
2018-2019,Gippsland,gardenProcessed,29202.8401
2007-2008,Barwon South West,gardenProcessed,30036.2
2005-2006,Barwon South West,gardenProcessed,30996.6695
2004-2005,Barwon South West,gardenProcessed,31198.01
2009-2010,Barwon South West,gardenProcessed,35978.8
2010-2011,Barwon South West,gardenProcessed,36767
2012-2013,Barwon South West,gardenProcessed,37043.6001
2011-2012,Barwon South West,gardenProcessed,38158
2015-2016,Barwon South West,gardenProcessed,38366.7
2014-2015,Barwon South West,gardenProcessed,38426
2013-2014,Barwon South West,gardenProcessed,41226.7199
2017-2018,Barwon South West,gardenProcessed,43585.6702
2016-2017,Barwon South West,gardenProcessed,44620.84
2018-2019,Barwon South West,gardenProcessed,48222.0701
2001-2002,Metropolitan,gardenProcessed,109834.93
2002-2003,Metropolitan,gardenProcessed,124468.04
2003-2004,Metropolitan,gardenProcessed,136062.4302
2004-2005,Metropolitan,gardenProcessed,182020.3208
2007-2008,Metropolitan,gardenProcessed,201255.9509
2006-2007,Metropolitan,gardenProcessed,202628.5698
2008-2009,Metropolitan,gardenProcessed,207068.4598
2005-2006,Metropolitan,gardenProcessed,208455.1391
2009-2010,Metropolitan,gardenProcessed,244064.3099
2012-2013,Metropolitan,gardenProcessed,289203.2608
2015-2016,Metropolitan,gardenProcessed,302465.18
2010-2011,Metropolitan,gardenProcessed,307506.1404
2014-2015,Metropolitan,gardenProcessed,308117.1403
2013-2014,Metropolitan,gardenProcessed,308791.8505
2011-2012,Metropolitan,gardenProcessed,315669.1904
2018-2019,Metropolitan,gardenProcessed,316100.9098
2017-2018,Metropolitan,gardenProcessed,329067.5305
2016-2017,Metropolitan,gardenProcessed,343738.3792
2015-2016,Goulburn Valley,Wastage,138.6
2013-2014,Goulburn Valley,Wastage,160
2012-2013,Goulburn Valley,Wastage,164
2011-2012,Goulburn Valley,Wastage,189.8003
2015-2016,Barwon South West,Wastage,299.194
2014-2015,Goulburn Valley,Wastage,317.2002
2001-2002,Goulburn Valley,Wastage,464.2
2002-2003,North East,Wastage,471.6
2010-2011,Goulburn Valley,Wastage,600
2016-2017,Barwon South West,Wastage,620.89
2015-2016,North East,Wastage,699.0001
2001-2002,North East,Wastage,708.5803
2014-2015,North East,Wastage,726.5502
2004-2005,North East,Wastage,737.37
2016-2017,Goulburn Valley,Wastage,744.6701
2014-2015,Barwon South West,Wastage,783.37
2012-2013,North East,Wastage,838.5399
2016-2017,North East,Wastage,940.11
2009-2010,Goulburn Valley,Wastage,941.6202
2004-2005,Grampians Central West,Wastage,1012.36
2003-2004,Grampians Central West,Wastage,1035.9201
2001-2002,Loddon Mallee,Wastage,1037
2015-2016,Grampians Central West,Wastage,1125.0801
2002-2003,Grampians Central West,Wastage,1154.94
2013-2014,North East,Wastage,1191.9801
2003-2004,North East,Wastage,1209
2006-2007,North East,Wastage,1318.5502
2012-2013,Barwon South West,Wastage,1342.4501
2010-2011,Grampians Central West,Wastage,1374.703
2001-2002,Gippsland,Wastage,1419.02
2008-2009,North East,Wastage,1446.3799
2002-2003,Loddon Mallee,Wastage,1452.9399
2014-2015,Loddon Mallee,Wastage,1481.8301
2018-2019,North East,Wastage,1484.2001
2017-2018,North East,Wastage,1498.2701
2007-2008,North East,Wastage,1504.5101
2008-2009,Goulburn Valley,Wastage,1517.4998
2015-2016,Loddon Mallee,Wastage,1518.1097
2005-2006,Goulburn Valley,Wastage,1526.6999
2003-2004,Loddon Mallee,Wastage,1548.5401
2013-2014,Loddon Mallee,Wastage,1559.68
2002-2003,Gippsland,Wastage,1574.3371
2001-2002,Grampians Central West,Wastage,1605.5121
2015-2016,Gippsland,Wastage,1631.0198
2009-2010,North East,Wastage,1683.9902
2006-2007,Grampians Central West,Wastage,1699.57
2003-2004,Goulburn Valley,Wastage,1752.57
2011-2012,North East,Wastage,1769.3
2014-2015,Grampians Central West,Wastage,1811.3852
2008-2009,Grampians Central West,Wastage,1818.882
2007-2008,Goulburn Valley,Wastage,1881.5801
2012-2013,Loddon Mallee,Wastage,1898.71
2005-2006,North East,Wastage,1919.3498
2010-2011,North East,Wastage,1961.72
2009-2010,Grampians Central West,Wastage,2001.602
2017-2018,Goulburn Valley,Wastage,2026.9899
2005-2006,Grampians Central West,Wastage,2033
2004-2005,Loddon Mallee,Wastage,2073.6701
2010-2011,Loddon Mallee,Wastage,2092.4
2017-2018,Gippsland,Wastage,2096.7902
2006-2007,Goulburn Valley,Wastage,2113.4301
2011-2012,Loddon Mallee,Wastage,2120.8502
2003-2004,Gippsland,Wastage,2148.9098
2016-2017,Gippsland,Wastage,2168.5901
2013-2014,Grampians Central West,Wastage,2377.9899
2016-2017,Grampians Central West,Wastage,2437.5231
2018-2019,Goulburn Valley,Wastage,2442.92
2013-2014,Barwon South West,Wastage,2553.8711
2012-2013,Grampians Central West,Wastage,2624.9301
2018-2019,Loddon Mallee,Wastage,2667.4798
2009-2010,Loddon Mallee,Wastage,2688.22
2002-2003,Goulburn Valley,Wastage,2748.56
2011-2012,Grampians Central West,Wastage,2780.8299
2017-2018,Grampians Central West,Wastage,2800.19
2016-2017,Loddon Mallee,Wastage,2939.8396
2001-2002,Barwon South West,Wastage,2998.92
2014-2015,Gippsland,Wastage,3105.7096
2007-2008,Grampians Central West,Wastage,3167.8601
2018-2019,Gippsland,Wastage,3181.9597
2007-2008,Loddon Mallee,Wastage,3185.5102
2008-2009,Loddon Mallee,Wastage,3222.02
2005-2006,Barwon South West,Wastage,3224.0903
2004-2005,Goulburn Valley,Wastage,3233.9696
2004-2005,Barwon South West,Wastage,3297.61
2006-2007,Loddon Mallee,Wastage,3300.2897
2017-2018,Loddon Mallee,Wastage,3385.2797
2006-2007,Gippsland,Wastage,3456.0997
2005-2006,Loddon Mallee,Wastage,3552.6801
2011-2012,Gippsland,Wastage,3723.1396
2007-2008,Gippsland,Wastage,3838.47
2018-2019,Grampians Central West,Wastage,3887.24
2017-2018,Barwon South West,Wastage,3976.6102
2013-2014,Gippsland,Wastage,3998.1298
2010-2011,Gippsland,Wastage,4183.2809
2018-2019,Barwon South West,Wastage,4304.48
2005-2006,Gippsland,Wastage,4326.8201
2008-2009,Gippsland,Wastage,4361.9003
2012-2013,Gippsland,Wastage,4522.2042
2004-2005,Gippsland,Wastage,4681.3
2009-2010,Gippsland,Wastage,4795.7898
2002-2003,Barwon South West,Wastage,5125.3813
2003-2004,Barwon South West,Wastage,5219.1096
2010-2011,Barwon South West,Wastage,5244.6208
2011-2012,Barwon South West,Wastage,5260.8299
2007-2008,Barwon South West,Wastage,5467.2102
2009-2010,Barwon South West,Wastage,5481.7399
2008-2009,Barwon South West,Wastage,5675.6101
2006-2007,Barwon South West,Wastage,7820.529
2002-2003,Metropolitan,Wastage,17883.4106
2001-2002,Metropolitan,Wastage,18032.8792
2015-2016,Metropolitan,Wastage,28850.4903
2014-2015,Metropolitan,Wastage,29032.4099
2016-2017,Metropolitan,Wastage,29556.3995
2012-2013,Metropolitan,Wastage,34593.0132
2003-2004,Metropolitan,Wastage,35020.8396
2013-2014,Metropolitan,Wastage,36312.7207
2011-2012,Metropolitan,Wastage,39557.9642
2009-2010,Metropolitan,Wastage,39575.8905
2006-2007,Metropolitan,Wastage,40793.8964
2018-2019,Metropolitan,Wastage,41233.0706
2017-2018,Metropolitan,Wastage,45111.2794
2007-2008,Metropolitan,Wastage,45776.9885
2008-2009,Metropolitan,Wastage,46248.0894
2004-2005,Metropolitan,Wastage,48950.8159
2005-2006,Metropolitan,Wastage,49410.6718
2010-2011,Metropolitan,Wastage,52004.9014
